address,hours,city,province
779 Sutherland Dr E,"[{'day': 'MONDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'TUESDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'WEDNESDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'THURSDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'FRIDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'SATURDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'SUNDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}]",Brooks,Alberta
10 Copperstone St SE,"[{'day': 'MONDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'TUESDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'WEDNESDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'THURSDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'FRIDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'SATURDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'SUNDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}]",Calgary,Alberta
100 151 Walden Gate SE,"[{'day': 'MONDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'TUESDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'WEDNESDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'THURSDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'FRIDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'SATURDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'SUNDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}]",Calgary,Alberta
10099 Hidden Valley Dr NW,"[{'day': 'MONDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'TUESDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'WEDNESDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'THURSDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'FRIDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'SATURDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'SUNDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}]",Calgary,Alberta
1010 8th Street SW,"[{'day': 'MONDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'TUESDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'WEDNESDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'THURSDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'FRIDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'SATURDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'SUNDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}]",Calgary,Alberta
1035 New Brighton Dr SE,"[{'day': 'MONDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'TUESDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'WEDNESDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'THURSDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'FRIDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'SATURDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'SUNDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}]",Calgary,Alberta
10474 Cityscape Drive NE,"[{'day': 'MONDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'TUESDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'WEDNESDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'THURSDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'FRIDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'SATURDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'SUNDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}]",Calgary,Alberta
11488 24 St SE,"[{'day': 'MONDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'TUESDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'WEDNESDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'THURSDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'FRIDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'SATURDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'SUNDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}]",Calgary,Alberta
120 36th St SE,"[{'day': 'MONDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'TUESDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'WEDNESDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'THURSDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'FRIDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'SATURDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'SUNDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}]",Calgary,Alberta
1201 1st SE,"[{'day': 'MONDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'TUESDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'WEDNESDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'THURSDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'FRIDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'SATURDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'SUNDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}]",Calgary,Alberta
